score,system_call
1958.7494794094794,_exit
14698.541051431159,_llseek
1.0,_tvf
981.9390862944163,accept
177.9047483779213,access
2.0,"admax_vars[\""u"
1.0,allocation\nD/dalvikvm
1.0,an
303.19610936293515,bind
1.0,body.appendChild
2078.2299124026586,brk
1.0,catch
1.0,cba
113.24271844660194,chdir
298.40525838621943,chmod
0.1111111111111111,clock_getres
141546.03891117597,clock_gettime
657.7059503177354,clock_nanosleep
1176.5239722281055,clone
1.065018079478422,close
0.2,commons.init
940.9337547982827,connect
2.7777777777777777,document.createElement
532.5167357505273,dup
1.0,eK\f
1.0,ej
1.0,ena
77.66622612038928,epoll_create
332.15718816586104,epoll_ctl
45444.66768757448,epoll_wait
24.275047709923665,execve
155.5941453733565,exit_group
0.3996447602131439,fchmod
1545.5999412800275,fdatasync
0.6131202691337259,flock
2.0,for
181.04071127749182,fork
463.7093312281974,fsync
1237.9167636507036,ftruncate
3.0,function
538.6310132297154,futex
1.0,getSize
1.0,getSuid
1.080168776371308,getcwd
14.222222222222221,getpeername
145.33898305084745,getpgid
4729.226745441071,getpid
146.17391304347825,getppid
1449.1344212196602,getpriority
21.257863304578635,getrlimit
1068.791327913279,getrusage
1474.4354478801404,getsockname
156.6307586896331,getsockopt
5.645602609211916,gettid
9086.64975992031,gettimeofday
1.0,gtfs_trips
1.0,iQ
0.391304347826087,if
87.4920107375687,inet_addr
0.01639344262295082,inotify_add_watch
0.09090909090909091,inotify_init
0.7272727272727273,inotify_rm_watch
32823.62630677354,ioctl
1.0,isNaN
22.741693461950696,kill
4.0,large
1.0,link
0.3284338570704511,listen
1.0,ln
5.444444444444445,loadAd
504314.141575635,lseek
1954.8471957247398,madvise
11368.704564624824,mkdir
8.0,mlock
7092.052550331682,mprotect
5.703947368421052,msync
52.12765957446808,munlock
61512.71267483518,munmap
322.9295176936276,nanosleep
1.0,nu
1.0,oTÃ©\24\t
1.0,oU
296.71008971632153,open
1.0,parseInt
22.913961352035898,pipe
529.647985293387,poll
5530.616567173972,prctl
1560418.329662871,read
10.49000951474786,readlink
7.0,readv
3604.46358666999,recvfrom
1005.2558336526632,recvmsg
304.0497247206323,rename
9.676563620260639,restart_syscall
2.0,rgb
1.0,rgba
0.8163265306122449,rmdir
9223.422096317281,rt_sigprocmask
2505.937538960229,rt_sigreturn
13.842226613965744,rt_sigtimedwait
2.0,scale3d
1.0,sched_get_priority_max
1.0,sched_get_priority_min
7.7872209755521435,sched_getparam
1.373784355179704,sched_getscheduler
2059.947392933003,sched_setscheduler
1079915.482441297,sched_yield
2.0,"script\"":function"
316.95384464624027,select
989.1936711694902,sendmsg
2756.976345193962,sendto
1208.7663335086797,set_thread_area
1.0,setitimer
5.069306930693069,setpgid
2.816266223672352,setpriority
505.57094791824807,setsockopt
679.7840752097584,shutdown
376.30580655000193,sigaction
2988.173681834664,sigaltstack
6135.876011480247,sigprocmask
447.3431257344301,sigreturn
3027.2151029748284,sigsuspend
1024.5137605991201,socket
3.9028397422278878,socketpair
0.0,st
1.0,st.nodeName
1.0,successionapostrophe
0.3333333333333333,symlink
6.0,sysinfo
8.0,syslog
6.513785774594579,tgkill
1.0,this.A?Gy
1.0,thread.\nD/dalvikvm
1.0,timer_create
1.0,timerfd_create
1.0,timerfd_settime
9223.422096317281,tkill
1.0,to
11.0,truncate
1.0,uP
1.0,ukÂ»Ã¸R
3927.364668491459,umask
74.97637795275591,uname
101.59616540510804,unlink
8.0,url
337.08845738942824,utimes
1.0,vfork
0.0,waitpid
1.0,webviewDidAppear
1.0,webviewDidClose
1.0,webviewDidCloseHelper
1.0,window.addEventListener
84205.24562511913,write
42514.372827085455,writev
1.0,xS
1.0,yK
