system_call,frequency,file_frequency
clock_gettime,23265467,1112
epoll_wait,2790971,655
recvfrom,8942076,1217
ioctl,4919414,1392
getpid,2780515,823
getuid32,2768406,887
write,9568296,1380
read,9667815,1389
sendto,5265810,1214
mprotect,614278,1384
gettimeofday,816985,871
futex,3225552,1222
mmap2,314411,883
madvise,177903,1203
clone,24797,1258
epoll_ctl,179967,1211
stat64,70337,777
writev,901414,1382
prctl,66932,1192
munmap,341868,1370
brk,69265,781
pread64,393502,698
sigprocmask,320299,720
dup,109526,1366
fcntl64,196185,873
close,414165,1386
access,57031,700
mkdir,1426,202
chmod,4382,415
lstat64,7770,328
gettid,10595,376
open,154516,786
fstat64,147409,824
setpriority,5695,540
getrlimit,367,303
sched_yield,73313,731
readlink,78,78
socketpair,370,319
setrlimit,177,177
rename,2205,192
fsync,3333,348
unlink,2949,240
nanosleep,3774,372
getpriority,1835,365
umask,28206,162
fchown32,14103,162
pwrite64,21220,117
fdatasync,8826,181
_llseek,11700,384
kill,141,141
lseek,18902,475
flock,1220,215
select,30,3
wait4,50,16
sigreturn,14,4
recvmsg,14,3
getdents64,6711,335
sigaction,110,23
fork,55,30
getpgid,14,3
setpgid,14,3
sendmsg,857,198
ftruncate,180,32
statfs64,714,65
epoll_pwait,1698751,568
rt_sigprocmask,153324,534
openat,68564,560
rt_sigreturn,2265,226
getcwd,47,4
faccessat,15126,411
fstatat64,5667,53
geteuid32,654,15
mkdirat,349,191
poll,24,22
tgkill,21,6
socket,167,32
connect,41,19
getuid,1302438,502
fcntl,61682,499
mmap,128340,500
newfstatat,67414,467
pread,371118,662
fstat,56642,362
geteuid,8085,107
fchmodat,1321,212
readlinkat,1421,289
pwrite,8662,77
eventfd2,21,21
epoll_create1,32,26
getppid,24,24
renameat,759,112
getsockopt,1060,54
unlinkat,919,129
exit_group,8,8
rt_sigaction,48,29
statfs,55,41
mknod,88,2
inotify_init1,79,79
????,1,1
fchmod,79,79
ugetrlimit,52,22
mremap,8,6
msync,22,9
pipe2,183,16
utimensat,7,2
mknodat,5,2
sched_getparam,8,8
sched_getscheduler,5,5
mincore,12,3
arch_prctl,1,1
setsockopt,32,6
bind,13,6
getsockname,19,5
ppoll,1,1
ftruncate64,3,1
munlock,51,1
mlock,22,1
sched_get_priority_max,1,1
listen,3,2
pipe,218,105
rmdir,11,7
sched_setscheduler,73,2
socketcall,2,2
tkill,8,2
epoll_create,2,1
inotify_rm_watch,6,2
restart_syscall,1,1
msgget,34667,168
semget,7485,168
recv,135316,166
pivot_root,108,20
semop,287,116
ipc_subcall,202,137
inotify_add_watch,4,1
getgid32,4,2
getegid32,4,2
